ISO CODE;FEAT_NAME;LEVEL;CONTINENT;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
ISO CODE;FEAT_NAME;LEVEL;CONTINENT;FLD1;FLD2;FLD3;FLD4;FLD5;FLD6;FLD7;FLD8;FLD9;FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27
MW;Malawi;CTR;Afrique;10120800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10120800;0;0;0;0;0;0;0;0;0
MV;Maldives;CTR;Asie;61686332;0;0;0;0;0;0;61686332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MT;Malte;CTR;Europe;246328317;0;43138592;0;0;0;0;0;0;16985686;0;5035782;0;0;0;0;0;123752627;0;56921;0;37680000;0;0;0;19678710;0
MA;Maroc;CTR;Afrique;203664103270;0;5225751427;0;6440270;0;103903562;0;0;370984227;28284788529;0;0;130909881;301735099;0;10731726;342888327;9445780;655595700;786831351;3028406539;0;163523547371;90146684;448449912;0
MU;Maurice ;CTR;Afrique;55194032631;0;314305586;0;0;244412052;0;129929924;0;334532005;346413787;0;0;92756350;9949298202;0;1842177;2102548729;16981742;570000064;69321183;28900137490;0;5019114013;1072771232;3231768495;0
MR;Mauritanie;CTR;Afrique;1910223271;0;0;0;0;0;0;0;0;3368337;109453018;0;0;0;78662349;0;0;15103137;0;0;93735576;706984854;0;0;902916000;0;0
MZ;Mozanbique;CTR;Afrique;2633640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633640;0;0;0;0;0;0;0;0
NA;Namibie;CTR;Afrique;1590409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1590409;0;0;0;0;0;0;0;0;0
NP;Nepal;CTR;Asie;1548059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1548059;0;0;0
NG;Nigeria;CTR;Afrique;11240530716;0;426262000;0;102932175;416480000;65608819;0;0;12610434;34861929;0;0;14544200;497180368;0;98459330;136767015;297659946;26136000;9932374;98669737;0;3600000;0;8998826389;0
NO;Norvege;CTR;Europe;699780479;0;108423184;0;0;0;0;0;1504765;0;193503714;0;0;0;134065797;0;0;3612262;0;0;0;258670757;0;0;0;0;0
NZ;Nouvelle-Zélande;CTR;Océanie;21587545;0;0;0;0;0;0;0;0;0;0;0;0;0;21587545;0;0;0;0;0;0;0;0;0;0;0;0
UG;Ouganda;CTR;Afrique;34032429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21266433;0;0;0;3018450;0;0;0;9222840;0
PK;Pakistan;CTR;Asie;175878408;0;94654658;0;0;0;0;0;0;13552738;0;0;0;0;0;0;0;0;0;0;0;61711012;0;0;0;5960000;0
PA;Panama;CTR;Amérique;104475000;0;104475000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NL;Pays-Bas;CTR;Europe;21106398711;0;188572041;0;504057643;25819445;0;1673922250;5567107;1413937255;492923474;0;0;73549599;1636415817;0;0;353706684;165936964;141172730;0;13294965457;0;441489548;668480825;25881873;0
PE;Perou;CTR;Amérique;28706404;0;0;0;0;0;0;0;0;0;0;0;0;0;28706404;0;0;0;0;0;0;0;0;0;0;0;0
PH;Philippines;CTR;Asie;553855740;0;0;0;0;0;0;0;0;0;0;0;0;0;5179880;0;0;32049605;0;0;0;0;0;0;0;516626255;0
PL;Pologne;CTR;Europe;183588207;3227308;0;0;0;0;0;102329292;0;0;0;0;0;0;0;0;0;25672463;0;0;0;52359144;0;0;0;0;0
PT;Portugal;CTR;Europe;2426478556;0;58708351;0;39357420;0;0;146440393;0;71423222;128251644;0;0;25000000;777198114;0;0;410532958;5705700;0;0;123119209;0;136902077;0;503839468;0
CD;République Démocratique Du Congo;CTR;Afrique;291685739;0;4462833;0;0;1612867;0;0;0;88391152;13000000;0;0;0;13408756;0;0;51991463;2144979;0;0;95835601;0;0;0;18564388;0
DO;Republique Dominicaine;CTR;Amérique;40326378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40326378;0;0;0;0;0;0;0;0;0
