ISO CODE,FEAT_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD1,FLD2,FLD3,FLD4,FLD5,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD8,FLD9,FLD10,FLD11,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD1,FLD2,FLD3,FLD4,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18,FLD19,FLD20,FLD1,FLD3,FLD4,FLD5,FLD6
GH,Ghana,Afrique,CTR,3939746558,0,0,0,0,0,0,0,0,0,510270042,0,0,0,0,0,0,0,4000000,0,28458946,477811096,0,129654125,5,85678473,5,43975652,0,0,0,0,0,0,0,734260391,9,564361646,123035754,6886574,87,10327231,0,0,0,0,0,15163500,0,0,0,0,37924155,0,1280400,0,0,0,6237623,0,0,0,17357278,0,0,0,0,0,13048854,0,40514542,1230562,0,0,39283980
GR,Grèce,Europe,CTR,122320556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6061043,6061043,0,0,0,0,0,0,0,0,2164898,607000,1557898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984300,984300,0,0,0
GN,Guinée   ,Afrique,CTR,1145412978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54356525,8312943,33788850,0,0,0,0,12254732,0,0,75481875,27675224,19914055,0,4332596,0,0,0,0,0,0,0,0,0,0,72896066,0,0,0,47840000,0,7434312,0,0,0,4463604,0,5011478,0,0,0,8146672,0,31440449,0,0,0,31440449
GY,Guyana,Amérique,CTR,2181865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181865,0,2181865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,Amérique,CTR,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,Asie,CTR,694126244,5,0,0,0,0,0,0,0,0,0,5822731,0,0,0,0,0,0,0,0,3472252,2350479,0,0,0,0,0,0,0,0,0,0,0,0,291887979,210472766,16579894,0,20746645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63373974,0,63373974,0,0
HU,Hongrie,Europe,CTR,45803390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33956270,20314988,3801927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,Inde,Asie,CTR,2771772927,30769962,0,0,18704400,0,0,0,12065562,0,323523796,0,0,0,0,0,0,0,0,0,133358535,137044405,53120856,215034237,2,215034237,2,0,0,0,0,0,0,0,0,924123298,5,471901949,231727363,5,0,18909332,0,0,0,0,0,100027170,0,3790132,0,0,287659410,10512000,0,0,264171141,0,0,12976269,0,0,0,0,0,0,0,0,0,0,111285728,111285728,0,0,0
ID,Indonesie,Asie,CTR,2523917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523917,2523917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,Irak,Asie,CTR,1894840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947420,947420,0,0,0
