CODE,ADM_NAME,CONTINENT,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17
RU,Russie,Europe,CTR,177641048.2,161666912.7,15245104.48,0,0,0,0,0,0,0,0,0,729031,0,0,0
RW,Rwanda,Afrique,CTR,73406926,28140873,38380607,0,0,509776,6375670,0,0,0,0,0,0,0,0,0
SC,Seychelles,Afrique,CTR,326346390.6,195154990.6,131191400,0,0,0,0,0,0,0,0,0,0,0,0,0
SL,Sierra Leone,Afrique,CTR,35996714,17263869,18732845,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapour ,Asie,CTR,9467752135,9430194659,36021454,0,0,0,0,0,0,0,0,0,1536022,0,0,0
SK,Slovaquie,Europe,CTR,4600000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovénie,Europe,CTR,15504135,10058288,5445847,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Suède,Europe,CTR,4263479075,4257365032,6114043,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,Suisse,Europe,CTR,15504224648,13926527276,1156683080,5778981,8664654,878308,11583267.4,96931878,1445532,0,110454464,45660100,127537352,0,12079756,0
TW,Taïwan,Asie,CTR,27319835,12809528,0,14510307,0,0,0,0,0,0,0,0,0,0,0,0
TZ,Tanzanie,Afrique,CTR,67368275,61401965,5966310,0,0,0,0,0,0,0,0,0,0,0,0,0
TD,Tchad,Afrique,CTR,687244421,589244421,0,0,0,0,0,98000000,0,0,0,0,0,0,0,0
TN,Tunisie,Afrique,CTR,3904575329,2950503737,721553189.5,40752772,20447492,57164200.69,1155796,0,0,643507,53912159,0,58442475,0,0,0
TR,Turquie,Asie,CTR,1341213473,1177862043,153619953.1,0,1565200,0,0,0,8166277,0,0,0,0,0,0,0
VD,Vietnam,Asie,CTR,121896959,105347539,0,0,16549420,0,0,0,0,0,0,0,0,0,0,0
ZM,Zambie,Afrique,CTR,648323556,624436877,0,0,0,0,0,0,0,0,23099357,0,787322,0,0,0
ZW,Zimbabwe,Afrique,CTR,1433520,0,1433520,0,0,0,0,0,0,0,0,0,0,0,0,0
