ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14
69,D69,TOUBA,YES,DISTRICT,72.95,100.04,92.12,89.51,100.89,92.42,90.09,100.7,92.28,89.63,0,75.8,74.13,97.16
70,R14,LÔH-DJIBOUA,N/A,REGION,100.48,103.67,98.27,102.05,103.93,98.5,102.38,103.48,97.52,101.05,1.88,95.82,94.34,91.3
71,D32,DIVO,YES,DISTRICT,102.69,102.13,98.28,100.72,102.45,98.43,100.96,102.91,98.67,101.31,0,98.66,95.49,89.18
72,D35,FRESCO,YES,DISTRICT,81.41,98.04,99.48,106.62,98.45,99.48,106.58,94.98,93.7,97.83,10.74,92.26,91.89,87.64
73,D41,GUITRY,YES,DISTRICT,101,102.68,97.45,101.47,103.12,98.05,101.68,102.85,97.43,100.94,2.6,101.31,101.18,95.83
74,D47,LAKOTA,YES,DISTRICT,106.71,111.37,98.25,102.73,111.27,98.45,103.58,110.47,97.38,102.5,0,86.81,87.18,94.08
75,R15,MARAHOUE,N/A,REGION,98.56,103.09,96.62,97.98,104.4,98.24,99.95,104.05,97.88,99.38,0,92.96,89.91,86.63
76,D16,BOUAFLE,YES,DISTRICT,101,103.99,96.05,94.73,106.49,99.26,98.6,106.52,98.89,98.04,0.01,85.65,83.69,80.7
77,D62,SINFRA,YES,DISTRICT,86,97.82,94.21,96.88,97.91,94.34,97.14,97.87,94.36,97.01,0,98.79,98.27,74.7
78,D75,ZUENOULA,YES,DISTRICT,107.62,107.06,99.97,104.16,107.77,100.65,104.92,106.55,99.9,103.88,0,98.38,91.06,108.06
79,R16,N'ZI-IFFOU,N/A,REGION,77.88,89.23,87.29,92.94,89.88,88.14,93.83,89.89,88.08,93.82,0,88.36,84.51,68.4
80,D14,BOCANDA,YES,DISTRICT,72.4,80.13,78.31,86.55,80.13,78.31,86.55,80.13,78.33,86.55,0,80.48,80.66,59.46
81,D24,BONGOUANOU,YES,DISTRICT,81.95,90.87,88.67,94.62,92.6,90.97,97.06,92.56,90.85,97.01,0,91.19,83.99,76.86
82,D29,DAOUKRO,YES,DISTRICT,87.35,93.43,91.85,95.58,93.31,91.9,95.44,93.41,91.78,95.38,0,90.85,84.23,63.56
83,D31,DIMBOKRO,YES,DISTRICT,76.98,101.69,95.25,100.31,101.69,95.25,100.31,101.69,95.25,100.31,0,97.15,97.96,72.37
84,D50,M'BAHIAKRO,YES,DISTRICT,62.97,74.45,76.15,81.78,74.45,75.85,81.78,74.48,75.85,81.96,0,79.34,77.25,63.96
85,D57,PRIKRO,YES,DISTRICT,71.66,88.59,88.95,93.37,89,89.31,93.63,89,89.25,93.65,0,83.81,82.76,58.79
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,108.63,104.26,98.25,101,108.44,102.48,105.76,98.36,93.16,95.91,0,100.74,95.88,96.66
87,D23,BOUNDIALI,YES,DISTRICT,94.45,103.35,93.74,95.78,109.1,100.97,103.06,94.77,88.76,87.24,0,98.39,96.68,84.9
88,D34,FERKESSEDOUGOU,YES,DISTRICT,106.88,113.64,108.06,106.51,113.82,108.06,106.62,111.68,106,104.15,0,100.85,100.15,95.67
89,D45,KORHOGO,YES,DISTRICT,114.38,99.65,94.53,96.93,105.02,99.66,102.82,90.57,86.52,90.43,0,98.21,94.4,95.42
90,D55,OUANGOLODOUGOU,YES,DISTRICT,108.21,108.96,102.62,116.01,110.32,104.02,117.68,106.46,100.03,112.19,0,109.37,90.21,117.69
91,D66,TENGRELA,YES,DISTRICT,107.5,108.14,104.26,97.6,114.8,110.03,104.84,114.18,106.94,101.39,0,104.55,106.96,89.88
92,R18,SUD-COMOE,N/A,REGION,86.24,92.32,89.85,89.1,93.03,90.44,89.87,92.54,90.02,89.35,0.57,80.22,78.57,71.9
93,D03,ABOISSO,YES,DISTRICT,94.34,98.52,94.3,92.67,99.95,95.53,94.32,99.04,94.76,93.53,0.17,82.95,80.07,81.76
94,D04,ADIAKE,YES,DISTRICT,68.42,84.7,83.62,86.63,84.65,83.67,86.48,84.37,83.47,85.91,2.27,79.21,78.95,61.93
95,D37,GRAND-BASSAM,YES,DISTRICT,86.14,88.06,87.3,85.31,88.18,87.29,85.35,88.18,87.24,85.29,0,76.71,75.99,63.58
96,R19,TONKPI,N/A,REGION,98.37,104.97,94.33,95.79,107.1,96.7,99.29,106.45,96.26,98.6,0,93.42,90.49,94.33
97,D12,BIANKOUMA,YES,DISTRICT,96.17,118.26,106.84,104.69,119.93,109.17,106.8,119.75,109.33,106.71,0,94.09,84.09,93.82
98,D28,DANANE,YES,DISTRICT,100.58,102.77,97.94,96.97,103.19,98.44,97.55,102.32,97.6,96.81,0,92.27,91.04,93.6
99,D48,MAN,YES,DISTRICT,101.64,102.59,85.72,91.67,105.5,89.38,98.26,104.73,88.8,97.29,0,94.17,93.59,99.73
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,91.79,96.34,89.66,90.8,100.08,92.47,94.56,99.42,92.14,93.72,0,92.9,91.77,86.01
101,R20,WORODOUGOU-BERE,N/A,REGION,91.43,111.81,101.37,102.76,112.02,101.73,103.34,108.88,98.84,100.17,0,97.8,94.88,95.13
102,D49,MANKONO,YES,DISTRICT,82.14,106.53,95.72,97.56,106.89,96.32,98.48,103.86,93.35,94.87,0,92.53,87.02,81.02
103,D60,SEGUELA,YES,DISTRICT,104.68,119.34,109.43,110.18,119.34,109.46,110.27,116.02,106.67,107.72,0,105.33,106.1,115.26
104,P01,TOTAL CI,N/A,PAYS,92.45,98.56,93.71,96.11,99.8,94.99,97.59,98.51,93.66,95.96,0.74,90.72,88.43,84.53
